to_address,f0_,f1_,tx_count
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-10-04,23998000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-09-16,6376500000000000000000,4
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-02-11,8610805000000000000000,3
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-09-22,23834000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-08-13,17255000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-07-25,15923000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-01-29,25216000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-03-09,6736000000000000000000,6
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-02-20,25320000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-08-03,6265000000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-11-11,26649000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-03-30,10685500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-06-24,5082500000000000000000,4
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-01-29,13842000500000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-04-22,11713000000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-11-21,25158000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-03-07,11475000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-09-09,6456500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-08-22,7759000000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-07-09,5674500000000000000000,4
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-01-01,25215000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-05-08,15251500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-09-24,11626333333333333333333.333333333,3
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-07-04,15259000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-08-02,6716000000000000000000,3
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-10-30,13320500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-01-18,27880000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-05-19,13959500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-05-05,15220500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-02-16,12838214137185000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-03-17,6149666666666666666666.666666667,3
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-10-25,10670500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-09-18,15208500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-03-19,6975333666666666666666.666666667,3
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-09-28,5018521172638436482084.5,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-08-05,16258000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-06-17,5331250000000000000000,4
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-08-28,19050000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-09-20,14500000000000000000000,3
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-04-04,10250500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-12-20,25999000000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-08-19,3495001184323000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-01-11,12683389443200000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-06-30,5899000000000000000000,6
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-10-09,24107000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-09-07,20733500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-06-11,5097750000000000000000,4
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-06-18,6150000000000000000000,5
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-08-24,19368000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-12-16,25227000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-11-05,10322500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-01-31,27735000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-07-21,7604000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-07-24,15658000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-11-03,25388000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-04-05,10083000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-05-18,7636055000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-06-27,7557000000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-09-02,6600250000000000000000,4
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-03-29,12672500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-10-05,24126000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-04-23,10228500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-08-17,9299500000000000000000.5,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-01-21,25257000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-05-16,4208562500000000000000,16
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-10-22,10051500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-09-12,4175882000000000000000,3
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-05-31,5418333333333333333333.333333333,6
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-11-03,10044000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-04-07,10294000000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-01-06,25138000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-03-02,6460500000000000000000,4
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-09-28,23708000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-12-28,25547000000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-07-15,5650800000000000000000,5
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-01-23,25241000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-06-12,15053000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-05-05,10231000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-01-19,9217803314666666666666.666666667,3
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-11-04,11016000000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-06-28,15234000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-02-14,26357000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-05-04,10411500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-06-04,6194125000000000000000,8
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-05-07,11802000000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-05-01,11229500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-03-20,10657666666666666666666.666666667,3
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-05-03,10364000000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-01-07,400000000000000000000,3
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-08-18,6385500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-06-25,4142001000000000000000,5
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-05-19,2722375000000000000000,8
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-07-07,15091000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-09-17,24172000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-12-24,25413500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-07-31,7671000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-05-10,14860000000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-04-03,11189000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-11-25,25335000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-07-27,7182500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-10-11,24471000000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-10-02,10201000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-09-07,8781333333333333333333.333333333,3
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-06-19,5368000000000000000000,5
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-02-12,26470000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-05-30,5431333333333333333333.333333333,9
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-07-08,6293500000000000000000,4
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-05-30,14409000000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-02-14,25230000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-05-06,11255000000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-06-11,14874500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-09-19,14307500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-05-18,3101333333333333333333.333333333,6
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-10-18,10229000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-03-10,6275666666666666666666.666666667,3
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-11-27,25135000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-06-20,14830000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-05-21,15206500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-01-18,25344000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-05-09,15179000000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-02-04,22000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-09-23,23730000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-06-06,14872000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-09-23,13665000000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-11-01,10033000000000000000000,1
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-03-31,10302500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-10-20,10243500000000000000000,2
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-02-27,25759000000000000000000,1
