from_address,f0_,f1_,tx_count
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-10-11,15449348217196554424.432263117,2554
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-03-21,4102099607261689017.760057992,5518
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-11-05,6297241882105014191.106906339,2114
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-08-24,5261964098627671541.057367829,889
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-06-15,11800777372772608857.461853368,2687
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-08-25,0,276
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-10-25,7783997920679245283.018867925,2650
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-02-07,14097444787027027027.027027027,1480
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-10-14,6437860025288865546.218487395,1904
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-09-08,7004900401172800998.128509046,1603
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-10-18,11676310499398939304.655274013,1697
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-05-19,9967148472121348314.606741573,2225
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-07-01,13308497610042718446.601941748,2575
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-07-29,5164717371173368490.441661173,1517
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-07-15,5662042197987551867.219917012,1446
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-01-19,9489594957328680203.045685279,1576
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-10-28,9828158700518518518.518518519,1350
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-12-29,17412378132785478547.854785479,1515
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-03-14,4557919604044213263.979193758,3845
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-06-11,10395446835064585575.888051668,1858
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-07-31,5836960945315082644.628099174,1936
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-07-02,12192309361286145878.290893397,2317
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-09-30,8258460394883824843.610366399,2238
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-08-11,8728042151211469534.050179211,1395
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-09-27,10831733090246835443.037974684,1580
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-05-27,6188357040771549125.979505726,3318
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-05-24,8185028357977430555.555555556,2304
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-11-15,15254194429883616830.796777081,2234
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-06-08,5936436601864101022.248947685,1663
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-08-17,8721170807678300455.235204856,1318
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-07-17,8751682296509216589.861751152,2604
